"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LUX","HUR","WOMEN","PC_LF","M","2011-10",5.6,
"LUX","HUR","WOMEN","PC_LF","M","2011-11",5.4,
"LUX","HUR","WOMEN","PC_LF","M","2011-12",5.6,
"LUX","HUR","WOMEN","PC_LF","M","2012-01",5.5,
"LUX","HUR","WOMEN","PC_LF","M","2012-02",5.6,
"LUX","HUR","WOMEN","PC_LF","M","2012-03",5.7,
"LUX","HUR","WOMEN","PC_LF","M","2012-04",5.7,
"LUX","HUR","WOMEN","PC_LF","M","2012-05",5.8,
"LUX","HUR","WOMEN","PC_LF","M","2012-06",5.9,
"LUX","HUR","WOMEN","PC_LF","M","2012-07",5.7,
"LUX","HUR","WOMEN","PC_LF","M","2012-08",5.8,
"LUX","HUR","WOMEN","PC_LF","M","2012-09",5.8,
"LUX","HUR","WOMEN","PC_LF","M","2012-10",5.9,
"LUX","HUR","WOMEN","PC_LF","M","2012-11",6,
"LUX","HUR","WOMEN","PC_LF","M","2012-12",6,
"LUX","HUR","WOMEN","PC_LF","M","2013-01",6,
"LUX","HUR","WOMEN","PC_LF","M","2013-02",6.1,
"LUX","HUR","WOMEN","PC_LF","M","2013-03",6.2,
"LUX","HUR","WOMEN","PC_LF","M","2013-04",6.2,
"LUX","HUR","WOMEN","PC_LF","M","2013-05",6.3,
"LUX","HUR","WOMEN","PC_LF","M","2013-06",6.3,
"LUX","HUR","WOMEN","PC_LF","M","2013-07",6.3,
"LUX","HUR","WOMEN","PC_LF","M","2013-08",6.2,
"LUX","HUR","WOMEN","PC_LF","M","2013-09",6.2,
"LUX","HUR","WOMEN","PC_LF","M","2013-10",6.1,
"LUX","HUR","WOMEN","PC_LF","M","2013-11",6,
"LUX","HUR","WOMEN","PC_LF","M","2013-12",6,
"LUX","HUR","WOMEN","PC_LF","M","2014-01",6.1,
"LUX","HUR","WOMEN","PC_LF","M","2014-02",6,
"LUX","HUR","WOMEN","PC_LF","M","2014-03",6.1,
"LUX","HUR","WOMEN","PC_LF","M","2014-04",5.9,
"LUX","HUR","WOMEN","PC_LF","M","2014-05",6,
"LUX","HUR","WOMEN","PC_LF","M","2014-06",6.2,
"LUX","HUR","WOMEN","PC_LF","M","2014-07",6.2,
"LUX","HUR","WOMEN","PC_LF","M","2014-08",6.3,
"LUX","HUR","WOMEN","PC_LF","M","2014-09",6.7,
"LUX","HUR","WOMEN","PC_LF","M","2014-10",6.7,
"LUX","HUR","WOMEN","PC_LF","M","2014-11",7,
"LUX","HUR","WOMEN","PC_LF","M","2014-12",7,
"LUX","HUR","WOMEN","PC_LF","M","2015-01",7,
"LUX","HUR","WOMEN","PC_LF","M","2015-02",7.2,
"LUX","HUR","WOMEN","PC_LF","M","2015-03",7.2,
"LUX","HUR","WOMEN","PC_LF","M","2015-04",7.2,
"LUX","HUR","WOMEN","PC_LF","M","2015-05",7.3,
"LUX","HUR","WOMEN","PC_LF","M","2015-06",7.2,
"LUX","HUR","WOMEN","PC_LF","M","2015-07",7.2,
